date,lon,lat,pm25_ug_m3,pblh_m,u_pbl_m_s,v_pbl_m_s,flux_east_t_d,flux_north_t_d,flux_magnitude_t_d,transport_east_t_d_per_m,transport_north_t_d_per_m,wind_valid_hour_count
2024/2/18,105.1,31.1,39.26339867,1108.8917,-1.123499847,-0.74387673,-46.99468636,-26.64317399,54.02184064,-0.004226334,-0.002798284,24
2024/2/18,105.2,31.1,39.44253242,1080.1244,-1.134052472,-0.779849602,-46.41629084,-27.33111742,53.86522101,-0.004174317,-0.002870537,24
2024/2/18,105.3,31.1,39.16029145,1050.8146,-1.269830922,-0.920317086,-50.20149229,-31.15426168,59.08280502,-0.004514729,-0.003272075,24
2024/2/18,105.4,31.1,37.64060367,1030.3983,-1.280187534,-0.956282095,-47.70171821,-30.51094806,56.62483441,-0.004289919,-0.003204509,24
2024/2/18,105.5,31.1,36.50562837,1011.99896,-1.452332635,-1.034353814,-51.54715566,-31.43525441,60.37619131,-0.004635747,-0.003301587,24
2024/2/18,105.6,31.1,36.92996179,991.67505,-1.466839648,-1.080349771,-51.60949393,-32.54772173,61.01552305,-0.004641353,-0.003418427,24
2024/2/18,105.7,31.1,37.83688978,969.60425,-1.627915064,-1.131198701,-57.37733825,-34.13947223,66.76572855,-0.005160068,-0.003585606,24
2024/2/18,105.8,31.1,38.89836399,947.97437,-1.632649907,-1.163249659,-57.83885868,-35.28652004,67.75302259,-0.005201574,-0.003706078,24
2024/2/18,105.9,31.1,40.15532124,928.948,-1.764443706,-1.122509054,-63.23259871,-34.44548674,72.00592404,-0.005686644,-0.003617746,24
2024/2/18,106,31.1,40.41455627,910.8284,-1.766830592,-1.154571065,-62.48388204,-34.96254294,71.60038355,-0.005619311,-0.003672052,24
2024/2/18,106.1,31.1,41.57742362,913.38446,-1.766488146,-1.149971138,-64.44966072,-35.92577108,73.78631171,-0.005796097,-0.003773218,24
2024/2/18,106.2,31.1,42.35125245,918.97644,-1.958536041,-0.869923825,-73.23200396,-27.85222058,78.34968153,-0.006585912,-0.002925268,24
2024/2/18,106.3,31.1,42.18054318,922.70624,-1.958236378,-0.862946071,-73.22164052,-27.62913231,78.26095829,-0.00658498,-0.002901837,24
